id,lang,path,sr,text
0001,en,en/1.wav,16000,"IT WILL NOT BE SAFE FOR TO ENTER THE ROOM NOW"
0002,en,en/2.wav,16000,"IT WILL BE NO DISAPPOINTMENT TO ME"
0003,en,en/3.wav,16000,"HOWEVER THAT WAS OVER NOW THE TREE GONE THE STORY AT AN END"
0004,en,en/4.wav,16000,"ALL IS SAID WITHOUT A WORD"
0005,en,en/5.wav,16000,"IT IS THIS THAT IS OF INTEREST TO THEORY OF KNOWLEDGE"
0006,en,en/6.wav,16000,"THE ANSWER TO THAT QUESTION IS UNCLEAR"
0007,en,en/7.wav,16000,"I THINK WE SHOULD ARRIVE EARLY TO AVOID THE RUSH"
0008,en,en/8.wav,16000,"SHE ALWAYS TAKES HER TIME WHEN GETTING READY"
0009,en,en/9.wav,16000,"THE SUN WAS SETTING BEHIND THE MOUNTAINS"
0010,en,en/10.wav,16000,"HE NEVER REALLY GOT OVER HER"
0011,en,en/11.wav,16000,"I'M TRYING TO DRINK MORE WATER EVERY DAY"
0012,en,en/12.wav,16000,"I'VE BEEN HAVING A GREAT DAY SO FAR"
0013,en,en/13.wav,16000,"I NEED TO MAKE A GROCERY LIST BEFORE I GO SHOPPING"
0014,en,en/14.wav,16000,"I CAN'T BELIEVE IT'S ALREADY MAY"
0015,en,en/15.wav,16000,"THE NEW RESTAURANT IN TOWN IS DELICIOUS"
0016,en,en/16.wav,16000,"THERE'S A LOT OF TRAFFIC THIS MORNING"
0017,en,en/17.wav,16000,"I NEED TO GO TO THE GROCERY STORE LATER"
0018,en,en/18.wav,16000,"I CAN'T WAIT TO SEE MY FAMILY NEXT WEEKEND"
0019,en,en/19.wav,16000,"I LOVE WATCHING SUNSETS AT THE BEACH"
0020,en,en/20.wav,16000,"I'M NOT SURE IF I CAN MAKE IT TO THE PARTY"
0021,en,en/21.wav,16000,"MY FAVORITE COLOR IS BLUE"
0022,en,en/22.wav,16000,"THE BOOK I'M READING IS REALLY INTERESTING"
0023,en,en/23.wav,16000,"I HAVE A DOCTOR'S APPOINTMENT THIS AFTERNOON"
0024,en,en/24.wav,16000,"I THINK I'M GOING TO TAKE A NAP"
0025,en,en/25.wav,16000,"I'M HAVING TROUBLE SLEEPING LATELY"
0026,en,en/26.wav,16000,"I CAN'T BELIEVE HOW FAST TIME FLIES"
0027,en,en/27.wav,16000,"MY FAVORITE TYPE OF MUSIC IS JAZZ"
0028,en,en/28.wav,16000,"I'M LOOKING FORWARD TO THE WEEKEND"
0029,en,en/29.wav,16000,"I'M EXCITED TO SEE THE NEW MOVIE THAT JUST CAME OUT"
0030,en,en/30.wav,16000,"I REALLY NEED TO CLEAN MY APARTMENT TODAY"

